President / Vice President (Vote For 1),,,,,,,,,,,,,,,,,,,,,,
,,REP Donald J. Trump / JD Vance,,,,DEM Kamala Harris / Tim Walz,,,,LIB Chase Oliver / Mike Ter Maat,,,,GRE Jill Stein / Rudolph Ware,,,,Write-in,,,,
2128,3559,149,43,1534,1726,90,53,715,858,1,0,7,8,7,0,33,40,6,0,5,11,2643
2134,4601,142,12,706,860,268,90,1729,2087,3,1,11,15,13,0,50,63,0,0,5,5,3030
2136,1326,76,3,244,323,73,21,513,607,1,0,4,5,6,0,6,12,1,0,1,2,949
2151,3279,98,13,693,804,177,42,1207,1426,1,0,8,9,4,0,8,12,2,0,9,11,2262
2152,1737,80,12,675,767,57,26,390,473,1,0,4,5,2,0,9,11,0,0,0,0,1256
2153,2293,50,0,102,152,172,32,989,1193,2,0,4,6,1,0,4,5,0,0,3,3,1359
2161,756,30,3,405,438,18,10,79,107,1,0,1,2,0,0,2,2,1,0,3,4,553
2171,2844,104,12,886,1002,105,33,816,954,1,0,3,4,9,0,10,19,0,0,1,1,1980
3011,1586,66,11,523,600,56,34,421,511,2,1,6,9,4,1,10,15,2,0,6,8,1143
3016,4030,179,13,1056,1248,148,34,903,1085,2,0,7,9,22,1,88,111,1,0,6,7,2460
3020,3054,174,28,1107,1309,113,38,583,734,7,0,6,13,1,0,11,12,3,0,9,12,2080
3022,3360,146,19,1030,1195,119,40,874,1033,3,0,8,11,8,0,22,30,1,0,11,12,2281
3027,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3029,1872,67,16,759,842,58,37,444,539,3,0,10,13,3,0,13,16,2,2,12,16,1426
3035,1996,80,15,591,686,73,23,494,590,4,0,3,7,9,0,21,30,1,1,3,5,1318
3042,1092,57,44,352,453,33,41,199,273,4,1,4,9,0,1,3,4,0,0,0,0,739
3043,876,33,5,84,122,43,26,217,286,1,0,2,3,3,0,6,9,1,0,1,2,422
3044,4451,217,13,1326,1556,146,31,1203,1380,0,0,8,8,26,1,76,103,1,0,10,11,3058
3045,1985,88,4,465,557,98,16,491,605,0,0,2,2,20,0,21,41,0,0,2,2,1207
3046,3300,145,30,830,1005,111,57,840,1008,2,0,14,16,19,1,42,62,1,0,5,6,2097
3047,860,30,9,217,256,32,21,254,307,2,0,3,5,1,0,9,10,0,0,3,3,581
3049,3752,157,10,743,910,174,61,1161,1396,4,1,17,22,16,0,34,50,5,0,7,12,2390
3053,13,1,0,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4
3060,3805,182,4,586,772,237,34,1060,1331,2,0,5,7,12,0,23,35,2,0,2,4,2149
3062,3775,148,29,955,1132,167,71,1231,1469,2,0,9,11,9,0,10,19,2,1,8,11,2642
3064,2945,132,23,915,1070,98,41,746,885,2,0,14,16,7,0,16,23,2,2,10,14,2008
3065,5977,275,38,1561,1874,221,94,1746,2061,6,0,23,29,33,0,60,93,2,0,18,20,4077
3071,673,45,0,160,205,26,3,163,192,0,0,0,0,13,0,28,41,1,0,2,3,441
3078,705,38,3,130,171,38,9,188,235,0,0,0,0,1,0,3,4,0,0,0,0,410
3079,506,35,8,124,167,24,10,113,147,0,0,2,2,2,0,6,8,0,0,2,2,326
3080,1569,76,13,393,482,83,19,397,499,0,0,6,6,11,0,9,20,1,2,6,9,1016
3084,1557,63,7,444,514,55,30,449,534,1,3,9,13,8,1,12,21,1,0,2,3,1085
3086,2652,139,9,499,647,133,24,546,703,2,0,7,9,44,1,89,134,1,0,3,4,1497
3092,835,36,2,170,208,38,21,261,320,2,1,1,4,1,0,1,2,0,0,1,1,535
3093,491,27,2,76,105,26,5,177,208,0,0,1,1,1,0,1,2,0,0,0,0,316
3096,2760,111,3,419,533,183,28,776,987,2,0,8,10,10,0,7,17,4,0,5,9,1556
3098,2908,206,13,494,713,187,36,569,792,3,0,3,6,10,1,40,51,0,0,1,1,1563
3102,2553,93,4,621,718,99,41,655,795,1,0,21,22,11,0,41,52,3,0,1,4,1591
3105,707,58,4,167,229,33,3,193,229,1,0,1,2,12,0,21,33,0,0,2,2,495
3107,1937,141,22,654,817,100,36,369,505,0,1,5,6,7,0,14,21,4,1,4,9,1358
3110,2815,130,38,719,887,94,60,643,797,1,1,9,11,12,0,21,33,3,0,13,16,1744
3111,1413,72,13,401,486,54,23,306,383,3,0,5,8,3,0,19,22,0,0,5,5,904
3112,760,41,1,51,93,44,3,113,160,0,0,1,1,0,0,0,0,0,0,1,1,255
3119,3317,150,33,1112,1295,95,51,769,915,2,0,12,14,12,1,49,62,2,0,14,16,2302
3121,832,26,2,177,205,31,11,226,268,0,0,4,4,5,0,11,16,0,0,2,2,495
3125,4417,227,25,862,1114,225,44,1027,1296,4,0,13,17,61,0,108,169,2,1,4,7,2603
3126,882,54,4,219,277,41,6,208,255,0,0,1,1,23,0,28,51,0,0,1,1,585
3127,3081,127,16,761,904,131,54,880,1065,1,0,5,6,22,0,32,54,1,0,5,6,2035
3129,8190,364,36,2298,2698,360,103,2241,2704,8,1,26,35,77,4,209,290,9,0,19,28,5755
3131,1995,92,22,562,676,69,42,506,617,2,0,5,7,10,0,22,32,3,0,4,7,1339
3135,7016,324,37,1756,2117,312,88,2005,2405,6,1,24,31,73,5,165,243,8,0,22,30,4826
3137,600,35,2,93,130,40,1,146,187,0,0,3,3,0,0,1,1,0,0,0,0,321
3138,472,21,0,103,124,21,10,150,181,1,0,1,2,0,0,14,14,0,0,1,1,322
3139,2532,170,8,517,695,149,17,598,764,10,0,1,11,63,2,91,156,2,0,4,6,1632
3140,3119,109,23,1039,1171,91,41,850,982,1,0,6,7,14,1,10,25,3,1,4,8,2193
3147,5775,364,24,1183,1571,286,32,1483,1801,7,0,6,13,119,7,286,412,3,0,8,11,3808
3155,3176,167,9,587,763,145,23,660,828,0,0,6,6,37,0,74,111,1,0,1,2,1710
3157,1103,60,5,343,408,48,10,299,357,2,0,2,4,12,0,9,21,1,0,0,1,791
3158,2708,180,5,508,693,133,27,768,928,3,0,5,8,38,3,75,116,1,0,4,5,1750
3166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3168,452,28,1,101,130,24,1,127,152,0,0,1,1,5,0,11,16,1,0,2,3,302
3169,772,62,4,162,228,52,1,151,204,1,0,3,4,27,0,39,66,1,0,1,2,504
3172,1887,115,7,295,417,132,12,390,534,1,0,1,2,10,2,18,30,2,0,4,6,989
3174,1793,90,8,350,448,73,19,486,578,2,0,3,5,15,0,20,35,0,0,3,3,1069
3175,1457,44,5,226,275,62,16,399,477,1,0,3,4,1,0,1,2,0,0,1,1,759
4001,3020,132,40,892,1064,94,40,675,809,1,0,7,8,8,0,25,33,1,0,6,7,1921
4002,726,28,0,56,84,82,9,195,286,0,0,0,0,1,0,1,2,0,0,0,0,372
4012,2853,204,26,556,786,148,48,364,560,0,1,5,6,2,0,4,6,3,2,3,8,1366
4015,1674,137,4,665,806,59,6,167,232,0,0,8,8,1,0,3,4,1,0,0,1,1051
4024,566,30,2,261,293,18,1,69,88,0,0,0,0,0,1,0,1,0,0,1,1,383
4025,6536,457,24,1676,2157,387,37,1337,1761,3,0,9,12,9,0,15,24,2,0,8,10,3964
4026,3091,112,29,893,1034,97,49,853,999,5,1,10,16,33,3,49,85,2,1,13,16,2150
4032,1338,63,2,207,272,67,16,332,415,1,0,0,1,15,0,23,38,0,0,2,2,728
4037,3017,203,29,644,876,140,34,476,650,2,0,6,8,3,0,4,7,0,0,3,3,1544
4039,1030,47,3,222,272,54,19,265,338,0,0,1,1,14,0,16,30,1,1,3,5,646
4040,3111,121,4,284,409,189,41,548,778,2,0,2,4,4,0,3,7,0,0,1,1,1199
4048,2168,89,15,265,369,112,14,368,494,2,0,4,6,2,0,5,7,1,0,2,3,879
4066,5007,189,1,687,877,285,46,1384,1715,3,0,5,8,17,0,20,37,2,0,3,5,2642
4067,3521,194,12,661,867,194,40,989,1223,4,0,8,12,46,1,40,87,5,0,3,8,2197
4069,6043,313,16,1217,1546,336,32,1740,2108,7,0,17,24,70,0,84,154,1,0,5,6,3838
4072,115,6,3,48,57,4,1,10,15,0,0,0,0,1,0,0,1,0,0,0,0,73
4073,1355,59,14,435,508,55,13,206,274,2,0,4,6,1,0,0,1,1,0,2,3,792
4074,4643,202,18,959,1179,243,50,1177,1470,6,1,8,15,6,0,16,22,3,0,4,7,2693
4076,3155,140,20,678,838,154,45,924,1123,2,0,3,5,24,0,27,51,2,0,8,10,2027
4082,7779,432,54,2498,2984,337,55,1852,2244,6,0,23,29,40,2,72,114,3,1,9,13,5384
4083,5849,294,15,1115,1424,313,57,1644,2014,5,0,17,22,57,0,81,138,0,0,2,2,3600
4095,5727,249,18,1593,1860,239,25,1606,1870,5,0,21,26,34,0,90,124,4,0,6,10,3890
4099,3808,182,9,707,898,183,41,874,1098,0,0,7,7,12,0,28,40,0,0,4,4,2047
4100,3050,125,17,489,631,196,39,689,924,3,0,2,5,5,0,7,12,0,2,1,3,1575
4101,4054,204,10,500,714,271,42,918,1231,3,0,4,7,13,2,14,29,0,0,3,3,1984
4106,7774,430,4,1176,1610,521,42,2266,2829,5,1,7,13,53,1,93,147,7,1,6,14,4613
4113,8249,439,10,1064,1513,559,55,2242,2856,3,0,10,13,81,2,90,173,3,0,5,8,4563
4117,2111,106,3,444,553,125,17,594,736,0,0,7,7,22,1,31,54,0,0,5,5,1355
4124,3727,243,12,793,1048,184,31,876,1091,4,0,6,10,56,2,72,130,2,0,3,5,2284
4141,5010,182,89,1647,1918,174,106,1473,1753,6,2,10,18,25,0,64,89,0,0,9,9,3787
4150,7895,414,27,1345,1786,436,70,2242,2748,7,0,15,22,58,1,105,164,2,0,9,11,4731
4154,5355,278,21,1174,1473,283,39,1423,1745,4,0,6,10,15,0,30,45,0,0,2,2,3275
4162,821,66,2,298,366,25,4,88,117,0,0,1,1,1,0,3,4,0,0,0,0,488
4163,1432,97,3,192,292,90,25,400,515,0,0,4,4,30,0,33,63,1,0,5,6,880
4164,1462,108,9,291,408,126,12,354,492,3,0,4,7,24,0,17,41,2,0,1,3,951
4167,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4170,694,54,1,139,194,48,4,186,238,0,0,0,0,16,0,19,35,1,0,2,3,470
4173,1261,59,2,248,309,70,12,269,351,0,0,3,3,16,0,18,34,0,0,4,4,701
Total:,558362,25987,2872,144255,173114,25856,6242,146036,178134,454,40,1423,1917,2519,68,4818,7405,280,31,943,1254,361824
